id, name,  external_id,  state,  openshift_version,  creation_timestamp,  activity_timestamp, master_count, infra_count, compute_count, vcpu_max, memory_max, cloud_provider, region_name, managed, user_count, project_count, pod_count
1,"engint","Engineering (Integration)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:37.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",750,54,71
4,"ded-int-aws","OpenShift Dedicated AWS (Integration)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:57.000Z",3,3,6,"24.0","96.0","aws","us-west-2","dedicated",48,33,28
25,"rh-idev","Red Hat iPaaS","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:34.000Z",3,3,5,"20.0","80.0","aws","us-east-1","dedicated",251,70,118
28,"dev-inmarsat","Inmarsat (Development)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:38.000Z",3,6,18,"72.0","576.0","aws","eu-west-1","dedicated",268,179,1133
29,"prod-inmarsat","Inmarsat (Production)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:37.000Z",3,3,8,"32.0","256.0","aws","eu-west-1","dedicated",82,30,249
30,"rhc4tp","Red Hat (ISV Cert Program)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:40.000Z",3,3,4,"16.0","64.0","aws","us-west-2","dedicated",33,9574,9
32,"ops-aws","Ops","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:42.000Z",3,3,7,"56.0","224.0","aws","us-east-1","dedicated",27,29,47
37,"tke","TKE (Development)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:30.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",47,36,56
41,"brandloyalty","Brand Loyalty","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:39.000Z",3,3,5,"20.0","80.0","aws","eu-west-1","dedicated",37,25,60
49,"telusdigitalsandbox","Telus Digital (Sandbox)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:33.000Z",3,3,7,"28.0","112.0","aws","ca-central-1","dedicated",311,43,46
50,"telusdigital","Telus Digital (Production)","provisioned","v3.11.154","2017-07-07T14:47:25.000Z","2020-07-14T17:15:33.000Z",3,6,57,"456.0","1824.0","aws","ca-central-1","dedicated",725,249,2242
54,"gsat-corp","Globosat","provisioned","v3.11.154","2017-07-07T14:47:26.000Z","2020-07-14T17:15:35.000Z",3,3,7,"28.0","224.0","aws","sa-east-1","dedicated",51,95,225
55,"dsaas","OpenShift.io","provisioned","v3.11.154","2017-07-07T14:47:26.000Z","2020-07-14T17:15:36.000Z",3,3,18,"72.0","288.0","aws","us-east-1","dedicated",100,26,267
61,"telstra-ice-osd","Telstra ICE (Pre-prod)","provisioned","v3.11.219","2017-07-07T14:47:26.000Z","2020-07-14T17:15:31.000Z",3,3,14,"56.0","224.0","aws","ap-southeast-2","dedicated",132,134,443
62,"starter-us-east-2","OpenShift Online OpenShift.io (2)","provisioned","v0","2017-07-07T14:47:26.000Z","2020-07-14T16:15:48.000Z",3,3,25,"200.0","800.0","aws","us-east-2","dedicated",4383,4830,105
63,"bi-x","Boehringer","provisioned","v3.11.154","2017-07-07T14:47:26.000Z","2020-07-14T17:15:39.000Z",3,3,15,"60.0","240.0","aws","eu-west-1","dedicated",159,202,310
65,"insights","Red Hat Insights","provisioned","v3.11.154","2017-07-07T14:47:26.000Z","2020-07-14T17:15:43.000Z",3,3,40,"320.0","2560.0","aws","us-east-1","dedicated",359,118,621
66,"telstra-ice-osd-prod","Telstra ICE (Production)","provisioned","v3.11.219","2017-07-07T14:47:26.000Z","2020-07-14T17:15:30.000Z",3,3,9,"36.0","144.0","aws","ap-southeast-2","dedicated",85,31,193
70,"prod-east-tke","TKE (Production East)","provisioned","v3.11.154","2017-07-07T14:47:47.000Z","2020-07-14T17:15:45.000Z",3,3,10,"40.0","160.0","aws","us-east-1","dedicated",34,21,32
79,"online-stg","OpenShift Online Pro (Stage)","provisioned","v0","2017-07-07T14:47:50.000Z","2020-07-14T17:15:34.000Z",3,3,24,"96.0","384.0","aws","us-east-2","dedicated",0,0,0
83,"pro-us-east-1","OpenShift Online Pro US East (N. Virginia)","provisioned","v3.11.154","2017-07-07T14:48:01.000Z","2020-07-14T17:15:41.000Z",3,3,60,"480.0","1920.0","aws","us-east-1","dedicated",1416,782,1406
85,"reg-aws","Standalone Registry (Production)","provisioned","v3.11.154","2017-07-07T14:48:03.000Z","2020-07-14T14:15:49.000Z",3,2,0,"0.0","0.0","aws","us-east-1","dedicated",294,36,0
97,"fuse-ignite","Red Hat Fuse Online","provisioned","v3.11.154","2017-09-15T15:26:25.000Z","2020-07-14T17:15:45.000Z",3,3,12,"96.0","384.0","aws","us-east-1","dedicated",128,104,663
98,"pro-ap-southeast-2","OpenShift Online Pro Asia Pacific (Sydney)","provisioned","v3.11.154","2017-09-15T19:15:23.000Z","2020-07-14T17:15:44.000Z",3,3,35,"280.0","1120.0","aws","ap-southeast-2","dedicated",318,125,209
102,"starter-us-east-2a","OpenShift Online OpenShift.io (2a)","provisioned","v0","2017-10-25T18:15:18.000Z","2020-07-14T17:15:46.000Z",3,3,25,"200.0","800.0","aws","us-east-2","dedicated",4584,6769,94
104,"rh-us-east-1","OpenShift Online Pro Employee-Only","provisioned","v3.11.154","2017-11-02T15:15:11.000Z","2020-07-14T17:15:47.000Z",3,3,30,"240.0","960.0","aws","us-east-1","dedicated",250,293,350
106,"dsaas-stg","OpenShift.io (Stage)","provisioned","v3.11.154","2017-11-10T18:10:56.000Z","2020-07-14T17:15:48.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",72,25,67
111,"bermuda","Bermuda","provisioned","v3.11.154","2017-12-07T23:15:07.000Z","2020-07-14T17:16:11.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",22,12,0
117,"starter-us-east-1a","OpenShift Online OpenShift.io (1a)","provisioned","v0","2018-03-05T17:15:13.000Z","2020-07-14T17:15:49.000Z",3,3,10,"80.0","320.0","aws","us-east-1","dedicated",1319,372,106
118,"starter-us-east-1b","OpenShift Online OpenShift.io (1b)","provisioned","v0","2018-03-05T17:15:14.000Z","2020-07-14T17:15:50.000Z",3,3,10,"80.0","320.0","aws","us-east-1","dedicated",1406,1165,33
121,"xom-sandbox","xom-sandbox","provisioned","v3.11.154","2018-03-21T09:15:12.000Z","2020-07-14T17:15:51.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",706,42,24
126,"quay","quay","provisioned","v3.11.154","2018-05-07T03:15:13.000Z","2020-07-14T17:15:51.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",31,16,13
127,"prod-west-tke","TKE (Production West)","provisioned","v3.11.154","2018-05-10T09:15:09.000Z","2020-07-14T17:15:52.000Z",3,3,10,"40.0","160.0","aws","us-west-2","dedicated",29,18,16
130,"galaxy","galaxy","provisioned","v3.11.154","2018-05-23T19:48:24.000Z","2020-07-14T17:15:51.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",28,17,49
133,"factorytools","factorytools","provisioned","v3.11.154","2018-07-18T10:15:11.000Z","2020-07-14T17:15:57.000Z",3,3,5,"20.0","80.0","aws","us-east-1","dedicated",59,61,139
134,"pro-eu-west-1","OpenShift Online Pro EU West (Ireland)","provisioned","v3.11.154","2018-08-07T19:15:28.000Z","2020-07-14T17:15:53.000Z",3,5,35,"280.0","1120.0","aws","eu-west-1","dedicated",1184,496,1180
135,"insights-dev","insights-dev","provisioned","v3.11.154","2018-08-20T16:15:31.000Z","2020-07-14T17:15:54.000Z",3,3,29,"232.0","928.0","aws","us-east-1","dedicated",346,281,847
151,"bi-ire","bi-ire","provisioned","v3.11.154","2018-09-03T09:15:25.000Z","2020-07-14T17:15:54.000Z",3,3,10,"40.0","160.0","aws","eu-west-1","dedicated",125,37,120
152,"tgrp","tgrp","provisioned","v3.11.154","2018-09-13T19:15:12.000Z","2020-07-14T17:15:55.000Z",3,3,4,"16.0","64.0","aws","ap-northeast-1","dedicated",52,27,74
154,"cqi","cqi","provisioned","v3.11.154","2018-09-20T22:15:12.000Z","2020-07-14T17:15:55.000Z",3,3,4,"16.0","64.0","aws","eu-west-2","dedicated",37,31,37
156,"fre-sydney","fre-sydney","provisioned","v3.11.154","2018-10-02T14:15:10.000Z","2020-07-14T17:15:56.000Z",3,3,5,"20.0","80.0","aws","ap-southeast-2","dedicated",45,24,90
157,"fre-singapore","fre-singapore","provisioned","v3.11.154","2018-10-03T18:15:11.000Z","2020-07-14T17:15:56.000Z",3,3,4,"16.0","64.0","aws","ap-southeast-1","dedicated",46,21,81
158,"cl-colcomercio","cl-colcomercio","provisioned","v3.11.154","2018-10-15T16:15:20.000Z","2020-07-14T17:15:56.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",32,28,120
161,"secteam311","secteam311","provisioned",null,"2018-11-12T18:15:48.000Z","2019-01-10T18:34:13.000Z",0,0,0,"0.0","0.0","aws","us-east-1","dedicated",0,0,0
168,"hive-stage","hive-stage","provisioned","v3.11.154","2019-02-13T18:15:19.000Z","2020-07-14T17:15:58.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",64,66,25
176,"kr-prod-bmwhub","kr-prod-bmwhub","provisioned","v3.11.154","2019-03-11T21:15:34.000Z","2020-07-14T17:15:58.000Z",3,3,4,"16.0","64.0","aws","ap-northeast-2","dedicated",60,20,55
177,"hive-production","hive-production","provisioned","v3.11.154","2019-03-13T20:15:53.000Z","2020-07-14T17:15:58.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",48,149,25
178,"usjdoscl1","usjdoscl1","provisioned","v3.11.154","2019-04-08T18:15:26.000Z","2020-07-14T17:15:59.000Z",3,3,6,"96.0","384.0","aws","ap-northeast-1","dedicated",33,42,115
180,"hive-integration","hive-integration","provisioned","v3.11.154","2019-04-30T20:15:09.000Z","2020-07-14T17:15:59.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",63,99,74
182,"wc-sb01","wc-sb01","provisioned","v3.11.154","2019-05-09T18:21:31.000Z","2020-07-14T17:16:00.000Z",3,3,4,"16.0","64.0","aws","us-east-1","dedicated",63,48,36
185,"rhmi-qe1","rhmi-qe1","provisioned","v3.11.154","2019-05-21T20:15:37.000Z","2020-07-14T17:16:00.000Z",3,3,5,"20.0","160.0","aws","eu-west-1","dedicated",45,41,105
187,"nwr-dev","nwr-dev","provisioned","v3.11.154","2019-05-28T15:15:15.000Z","2020-07-14T17:16:06.000Z",3,3,9,"36.0","144.0","aws","eu-west-2","dedicated",54,181,316
189,"bancoppel-dev","bancoppel-dev","provisioned","v3.11.154","2019-06-10T19:15:24.000Z","2020-07-14T17:16:01.000Z",3,3,8,"64.0","256.0","aws","us-west-1","dedicated",162,36,333
191,"dhs-tn","dhs-tn","provisioned","v3.11.154","2019-06-27T17:15:24.000Z","2020-07-14T17:16:01.000Z",3,3,5,"40.0","160.0","aws","us-east-1","dedicated",48,133,219
192,"bosch-iot-hub","bosch-iot-hub","provisioned","v3.11.154","2019-07-09T20:15:18.000Z","2020-07-14T17:16:02.000Z",3,3,7,"28.0","112.0","aws","eu-central-1","dedicated",30,39,102
193,"rhmds-qe1","rhmds-qe1","provisioned","v3.11.154","2019-07-16T22:15:27.000Z","2020-07-14T17:16:02.000Z",3,3,6,"24.0","96.0","aws","eu-central-1","dedicated",34,33,64
194,"tke-2","tke-2","provisioned","v3.11.154","2019-07-26T19:15:18.000Z","2020-07-14T17:16:03.000Z",3,3,7,"28.0","112.0","aws","us-east-1","dedicated",38,58,153
196,"qmul-eecs","qmul-eecs","provisioned","v3.11.154","2019-08-02T11:12:27.000Z","2020-07-14T17:16:04.000Z",3,3,8,"32.0","128.0","aws","eu-west-2","dedicated",284,285,169
197,"rhmi-cssre","rhmi-cssre","provisioned","v3.11.154","2019-08-07T20:15:40.000Z","2020-07-14T17:16:03.000Z",3,3,6,"24.0","96.0","aws","eu-west-1","dedicated",33,27,63
198,"provoli","provoli","provisioned","v3.11.154","2019-08-12T18:15:22.000Z","2020-07-14T17:16:04.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",32,48,126
199,"das-uk","das-uk","provisioned","v3.11.154","2019-08-12T18:31:15.000Z","2020-07-14T17:16:05.000Z",3,3,9,"36.0","144.0","aws","eu-west-2","dedicated",31,30,260
200,"nwr-prod","nwr-prod","provisioned","v3.11.154","2019-08-15T19:15:16.000Z","2020-07-14T17:16:05.000Z",3,3,12,"48.0","192.0","aws","eu-west-2","dedicated",30,87,249
201,"prod-east-2-tke","prod-east-2-tke","provisioned","v3.11.154","2019-08-26T00:15:31.000Z","2020-07-14T17:16:06.000Z",3,3,8,"32.0","128.0","aws","us-east-1","dedicated",32,39,123
202,"icc-oberon","icc-oberon","provisioned","v3.11.154","2019-08-30T08:15:23.000Z","2020-07-14T17:16:07.000Z",3,3,6,"24.0","96.0","aws","eu-west-2","dedicated",39,53,94
203,"de-odp-i-bmwhub","de-odp-i-bmwhub","provisioned","v3.11.154","2019-09-03T22:15:29.000Z","2020-07-14T17:16:07.000Z",3,3,4,"16.0","128.0","aws","eu-central-1","dedicated",71,31,126
205,"usjprod1","usjprod1","provisioned","v3.11.154","2019-09-10T19:15:20.000Z","2020-07-14T17:16:07.000Z",3,3,5,"80.0","320.0","aws","ap-northeast-1","dedicated",26,32,72
208,"wc-qa01","wc-qa01","provisioned","v3.11.154","2019-09-15T19:13:32.000Z","2020-07-14T17:16:08.000Z",3,3,4,"32.0","128.0","aws","us-east-1","dedicated",50,23,67
210,"sdm","sdm","provisioned","v3.11.154","2019-09-23T22:46:16.000Z","2020-07-14T17:16:08.000Z",3,3,4,"16.0","64.0","aws","us-west-2","dedicated",21,17,44
213,"rhmi-hybrid","rhmi-hybrid","provisioned","v3.11.154","2019-09-30T08:15:12.000Z","2020-07-14T17:16:09.000Z",3,3,6,"24.0","96.0","aws","eu-west-1","dedicated",26,32,71
214,"monex-desarrollo","monex-desarrollo","provisioned","v3.11.154","2019-10-03T11:15:31.000Z","2020-07-14T17:16:09.000Z",3,3,5,"40.0","160.0","aws","us-west-1","dedicated",40,41,56
215,"rhmicee01","rhmicee01","provisioned","v3.11.154","2019-10-08T12:15:23.000Z","2020-07-14T17:16:09.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",48,67,149
217,"wc-pr01","wc-pr01","provisioned","v3.11.154","2019-10-21T20:49:28.000Z","2020-07-14T17:16:10.000Z",3,3,4,"32.0","128.0","aws","us-east-1","dedicated",55,21,70
218,"forum-osd","forum-osd","provisioned","v3.11.154","2019-10-23T17:42:51.000Z","2020-07-14T17:16:10.000Z",3,3,6,"24.0","96.0","aws","us-east-1","dedicated",28,29,202
