id, name, external_id, state, openshift_version,creation_timestamp, activity_timestamp, master_count, infra_count, compute_count, vcpu_max, memory_max, cloud_provider, region_name, managed, product_id, multi_az, byoc, cluster_admin_enabled, total_nodes
15uq6splkva07rae2hgih6eph4vs3p8m,osd-v4stg-aws,c03103eb-1571-498d-b1fd-70587b445faa,ready,4.4.11,2019-05-30T15,NONE,3,3,15,72,2.94274637824,aws,us-east-1,true,NONE,true,false,NONE,21,
15uq9gvgj178aumrphhba0nr24j75md0,osd-v4prod-aws,18e66bcf-3090-4519-a188-4ffb63fb6104,ready,4.4.11,2019-05-30T15,NONE,3,3,9,72,2.94627172352,aws,us-east-2,true,NONE,true,false,NONE,15,
1cj7gjdmajmcr92aqs3lf04steib4ai0,osd-v4stg-gcp,07e01e9e-619f-4b8a-b16b-78e66de53af7,ready,4.4.11,2020-04-16T20,NONE,3,3,9,60,2.52233392128,gcp,us-east1,true,NONE,true,false,NONE,15,
1cj7gon78dmeafjdibm1s2kr27nvecls,osd-v4prod-gcp,32e06cac-83d9-497d-8dec-61652b8e368b,ready,4.4.11,2020-04-16T20,NONE,3,3,9,60,2.52233342976,gcp,us-west1,true,NONE,true,false,NONE,15,
1dlvj1e3ojqhcundamjqpo94l24b06fh,jamesh-moa-1,0be33c12-f317-460f-8e76-a1aa86fe1950,ready,4.4.11,2020-06-08T14,NONE,3,3,4,40,1.6346632192e,aws,us-east-1,true,NONE,false,true,NONE,10,
1dlvqi2t8mt03pgc3vlts7og2hgs5gu9,jamesh-moa-2,81b2330d-6978-4a6a-829f-a87bc4a376dc,ready,4.4.11,2020-06-08T14,NONE,3,3,4,40,1.63466272768,aws,us-east-1,true,NONE,false,true,NONE,10,
1dt7k7qsmpuqu7ofdu4de42kojqbag0c,test-4-3-18,fd1f5f29-9493-4195-99c3-cd65bd891bbf,ready,4.3.18,2020-06-19T14,NONE,3,3,4,40,1.63290177536,aws,us-east-1,true,NONE,false,false,NONE,10,
1dt7k9g6t6ein7q18a59r5pcvqs1gp1b,test-4-3-19,079f7af8-a43e-4997-8320-0b0a15c61696,ready,4.3.19,2020-06-19T14,NONE,3,3,4,40,1.63642499072,aws,us-east-1,true,NONE,false,false,NONE,10,
1dt9juikkvabj3vf7487lh1j8o4mg6cn,ci-cluster-4-3-18-dfh,8a8c0314-7caa-4caa-ad68-24059bfb6316,ready,4.3.25,2020-06-19T16,NONE,3,3,4,40,1.6399478784e,aws,us-east-1,true,NONE,false,false,NONE,10,
1dtea0tt271d621su5e09kog532081gr,ci-cluster-4-3-18-s5j,f3fe4dc5-9dca-4892-a9c3-6b0cb06226df,ready,4.3.25,2020-06-19T21,NONE,3,3,4,40,1.63466338304,aws,us-east-1,true,NONE,false,false,NONE,10,
1dvc6nahlat5kqi42a2qitgunqvkffmk,test-4-3-18-a,17fdecec-4ede-4fe4-a75d-4d1c5246f342,ready,4.3.18,2020-06-22T20,NONE,3,3,4,40,1.63290144768,aws,us-east-1,true,NONE,false,false,NONE,10,
1e1qerrgp1jo25pridpuvnhcnvqr14sd,test-4-3-25,d3bdbb51-8c53-4d4f-8a5f-345b384af786,ready,4.3.25,2020-06-26T13,NONE,3,3,4,40,1.63642499072,aws,us-east-1,true,NONE,false,false,NONE,10,
1ed67207teu016ehfk2k0cdj40ergada,jamesh-4-4-11,7ab21ffe-ad81-4d0f-bd55-8e1f696985b5,ready,4.4.11,2020-07-13T19,NONE,3,3,4,40,1.63466305536,aws,us-east-1,true,NONE,false,false,NONE,10,
